代码,名称,"最新收盘价(元,CNY)","总市值(亿元,CNY)","流通市值(亿元,CNY)",交易状态,最新收盘价日期,上市日期,省份,证监会行业,Wind行业,证券类型,上市板,上市交易所
601238.SH,广汽集团,13.56,"1,226.1068",824.49654,正常交易,2019-04-11,2012-03-29,广东省,CSRC汽车制造业,Wind汽车与汽车零部件,A股,主板,上海证券交易所
601258.SH,庞大集团,1.72,114.8042,112.46183,正常交易,2019-04-11,2011-04-28,河北省,CSRC零售业,Wind零售业,A股,主板,上海证券交易所
601288.SH,农业银行,3.73,"12,854.9681","10,968.26246",正常交易,2019-04-11,2010-07-15,北京,CSRC货币金融服务,Wind银行,A股,主板,上海证券交易所
601298.SH,青岛港,10.98,644.6337,49.89048,正常交易,2019-04-11,2019-01-21,山东省,CSRC水上运输业,Wind运输,A股,主板,上海证券交易所
601311.SH,骆驼股份,13.19,113.9373,113.93732,正常交易,2019-04-11,2011-06-02,湖北省,CSRC电气机械及器材制造业,Wind资本货物,A股,主板,上海证券交易所
601318.SH,中国平安,80.71,"14,591.6748","8,743.04352",正常交易,2019-04-11,2007-03-01,广东省,CSRC保险业,Wind保险Ⅱ,A股,主板,上海证券交易所
601319.SH,中国人保,9.45,"3,598.7729",95.56218,正常交易,2019-04-11,2018-11-16,北京,CSRC保险业,Wind保险Ⅱ,A股,主板,上海证券交易所
601326.SH,秦港股份,4.55,229.3962,75.22264,正常交易,2019-04-11,2017-08-16,河北省,CSRC水上运输业,Wind运输,A股,主板,上海证券交易所
601328.SH,交通银行,6.29,"4,428.7443","2,468.87935",正常交易,2019-04-11,2007-05-15,上海,CSRC货币金融服务,Wind银行,A股,主板,上海证券交易所
601330.SH,绿色动力,13.28,113.3141,15.43136,正常交易,2019-04-11,2018-06-11,广东省,CSRC生态保护和环境治理业,Wind商业和专业服务,A股,主板,上海证券交易所
601333.SH,广深铁路,3.59,239.6677,202.91531,正常交易,2019-04-11,2006-12-22,广东省,CSRC铁路运输业,Wind运输,A股,主板,上海证券交易所
601336.SH,新华保险,58.53,"1,604.3042","1,220.60765",正常交易,2019-04-11,2011-12-16,北京,CSRC保险业,Wind保险Ⅱ,A股,主板,上海证券交易所
601339.SH,百隆东方,5.79,86.8500,86.85000,正常交易,2019-04-11,2012-06-12,浙江省,CSRC纺织业,Wind耐用消费品与服装,A股,主板,上海证券交易所
601360.SH,三六零,24.68,"1,669.3688",98.02463,正常交易,2019-04-11,2012-01-16,江苏省,CSRC互联网和相关服务,Wind软件与服务,A股,主板,上海证券交易所
601366.SH,利群股份,7.79,67.0330,37.00469,正常交易,2019-04-11,2017-04-12,山东省,CSRC零售业,Wind零售业,A股,主板,上海证券交易所
601368.SH,绿城水务,6.98,51.3596,51.35960,正常交易,2019-04-11,2015-06-12,广西壮族自治区,CSRC水的生产和供应业,Wind公用事业Ⅱ,A股,主板,上海证券交易所
601369.SH,陕鼓动力,7.09,118.8802,116.18881,正常交易,2019-04-11,2010-04-28,陕西省,CSRC电气机械及器材制造业,Wind资本货物,A股,主板,上海证券交易所
601375.SH,中原证券,6.12,186.5491,110.32785,正常交易,2019-04-11,2017-01-03,河南省,CSRC资本市场服务,Wind多元金融,A股,主板,上海证券交易所
